image_name,relative_path,label
01060602previewen-02b.jpg,backend/data/Combined/Alluvial_soil/01060602previewen-02b.jpg,Alluvial_soil
01060602previewen-02d.jpg,backend/data/Combined/Alluvial_soil/01060602previewen-02d.jpg,Alluvial_soil
1.jpg,backend/data/Combined/Alluvial_soil/1.jpg,Alluvial_soil
10.jpg,backend/data/Combined/Alluvial_soil/10.jpg,Alluvial_soil
100.jpg,backend/data/Combined/Alluvial_soil/100.jpg,Alluvial_soil
1000_F_240425429_YL91trtDxXQl8L0OKP7zyngeSb63olAC.jpg,backend/data/Combined/Alluvial_soil/1000_F_240425429_YL91trtDxXQl8L0OKP7zyngeSb63olAC.jpg,Alluvial_soil
101.jpg,backend/data/Combined/Alluvial_soil/101.jpg,Alluvial_soil
103.jpg,backend/data/Combined/Alluvial_soil/103.jpg,Alluvial_soil
104.jpg,backend/data/Combined/Alluvial_soil/104.jpg,Alluvial_soil
105.jpg,backend/data/Combined/Alluvial_soil/105.jpg,Alluvial_soil
11.jpg,backend/data/Combined/Alluvial_soil/11.jpg,Alluvial_soil
12.jpg,backend/data/Combined/Alluvial_soil/12.jpg,Alluvial_soil
13.jpg,backend/data/Combined/Alluvial_soil/13.jpg,Alluvial_soil
14.jpg,backend/data/Combined/Alluvial_soil/14.jpg,Alluvial_soil
15.jpg,backend/data/Combined/Alluvial_soil/15.jpg,Alluvial_soil
16.jpg,backend/data/Combined/Alluvial_soil/16.jpg,Alluvial_soil
17.jpg,backend/data/Combined/Alluvial_soil/17.jpg,Alluvial_soil
18.jpg,backend/data/Combined/Alluvial_soil/18.jpg,Alluvial_soil
180.jpg,backend/data/Combined/Alluvial_soil/180.jpg,Alluvial_soil
19.jpg,backend/data/Combined/Alluvial_soil/19.jpg,Alluvial_soil
2.jpg,backend/data/Combined/Alluvial_soil/2.jpg,Alluvial_soil
20.jpg,backend/data/Combined/Alluvial_soil/20.jpg,Alluvial_soil
200.jpg,backend/data/Combined/Alluvial_soil/200.jpg,Alluvial_soil
21.jpg,backend/data/Combined/Alluvial_soil/21.jpg,Alluvial_soil
22.jpg,backend/data/Combined/Alluvial_soil/22.jpg,Alluvial_soil
23.jpg,backend/data/Combined/Alluvial_soil/23.jpg,Alluvial_soil
24.jpg,backend/data/Combined/Alluvial_soil/24.jpg,Alluvial_soil
25.jpg,backend/data/Combined/Alluvial_soil/25.jpg,Alluvial_soil
26.jpg,backend/data/Combined/Alluvial_soil/26.jpg,Alluvial_soil
27.jpg,backend/data/Combined/Alluvial_soil/27.jpg,Alluvial_soil
28.jpg,backend/data/Combined/Alluvial_soil/28.jpg,Alluvial_soil
28a.jpg,backend/data/Combined/Alluvial_soil/28a.jpg,Alluvial_soil
28b.jpg,backend/data/Combined/Alluvial_soil/28b.jpg,Alluvial_soil
29.jpg,backend/data/Combined/Alluvial_soil/29.jpg,Alluvial_soil
30.jpg,backend/data/Combined/Alluvial_soil/30.jpg,Alluvial_soil
30a.jpg,backend/data/Combined/Alluvial_soil/30a.jpg,Alluvial_soil
31.jpg,backend/data/Combined/Alluvial_soil/31.jpg,Alluvial_soil
32.jpg,backend/data/Combined/Alluvial_soil/32.jpg,Alluvial_soil
33.jpg,backend/data/Combined/Alluvial_soil/33.jpg,Alluvial_soil
35.jpg,backend/data/Combined/Alluvial_soil/35.jpg,Alluvial_soil
37.jpg,backend/data/Combined/Alluvial_soil/37.jpg,Alluvial_soil
38.jpg,backend/data/Combined/Alluvial_soil/38.jpg,Alluvial_soil
39.jpg,backend/data/Combined/Alluvial_soil/39.jpg,Alluvial_soil
40.jpg,backend/data/Combined/Alluvial_soil/40.jpg,Alluvial_soil
41.jpg,backend/data/Combined/Alluvial_soil/41.jpg,Alluvial_soil
42.jpg,backend/data/Combined/Alluvial_soil/42.jpg,Alluvial_soil
44.jpg,backend/data/Combined/Alluvial_soil/44.jpg,Alluvial_soil
45.jpg,backend/data/Combined/Alluvial_soil/45.jpg,Alluvial_soil
45a.jpg,backend/data/Combined/Alluvial_soil/45a.jpg,Alluvial_soil
46.jpeg,backend/data/Combined/Alluvial_soil/46.jpeg,Alluvial_soil
5.jpg,backend/data/Combined/Alluvial_soil/5.jpg,Alluvial_soil
7.jpg,backend/data/Combined/Alluvial_soil/7.jpg,Alluvial_soil
8.jpg,backend/data/Combined/Alluvial_soil/8.jpg,Alluvial_soil
80.jpg,backend/data/Combined/Alluvial_soil/80.jpg,Alluvial_soil
alluvial-diamond-layers-mining-site-western-cape-south-africa-G8CR87.jpg,backend/data/Combined/Alluvial_soil/alluvial-diamond-layers-mining-site-western-cape-south-africa-G8CR87.jpg,Alluvial_soil
alluvial-soil-1kg-green-era-original-imag4r54hhybzhqc.jpeg,backend/data/Combined/Alluvial_soil/alluvial-soil-1kg-green-era-original-imag4r54hhybzhqc.jpeg,Alluvial_soil
alluvial-soil-1kg-green-era-original-imag4r54wbucymtp.jpeg,backend/data/Combined/Alluvial_soil/alluvial-soil-1kg-green-era-original-imag4r54wbucymtp.jpeg,Alluvial_soil
Alluvial-soil-distribution-in-India-1.jpeg,backend/data/Combined/Alluvial_soil/Alluvial-soil-distribution-in-India-1.jpeg,Alluvial_soil
Alluvial-soil-distribution-in-India.jpg,backend/data/Combined/Alluvial_soil/Alluvial-soil-distribution-in-India.jpg,Alluvial_soil
Alluvial-Soil..png,backend/data/Combined/Alluvial_soil/Alluvial-Soil..png,Alluvial_soil
alluvial-soil1.png,backend/data/Combined/Alluvial_soil/alluvial-soil1.png,Alluvial_soil
alluvial-soils-ricker-2primefarmland-1200x675-1.jpg,backend/data/Combined/Alluvial_soil/alluvial-soils-ricker-2primefarmland-1200x675-1.jpg,Alluvial_soil
Alluvial_1.jpg,backend/data/Combined/Alluvial_soil/Alluvial_1.jpg,Alluvial_soil
Alluvial_10.png,backend/data/Combined/Alluvial_soil/Alluvial_10.png,Alluvial_soil
Alluvial_11.jpg,backend/data/Combined/Alluvial_soil/Alluvial_11.jpg,Alluvial_soil
Alluvial_12 - Copy.jpg,backend/data/Combined/Alluvial_soil/Alluvial_12 - Copy.jpg,Alluvial_soil
Alluvial_12.jpg,backend/data/Combined/Alluvial_soil/Alluvial_12.jpg,Alluvial_soil
Alluvial_13.png,backend/data/Combined/Alluvial_soil/Alluvial_13.png,Alluvial_soil
Alluvial_14.png,backend/data/Combined/Alluvial_soil/Alluvial_14.png,Alluvial_soil
Alluvial_15.png,backend/data/Combined/Alluvial_soil/Alluvial_15.png,Alluvial_soil
Alluvial_16.png,backend/data/Combined/Alluvial_soil/Alluvial_16.png,Alluvial_soil
Alluvial_17.png,backend/data/Combined/Alluvial_soil/Alluvial_17.png,Alluvial_soil
Alluvial_18 - Copy.png,backend/data/Combined/Alluvial_soil/Alluvial_18 - Copy.png,Alluvial_soil
Alluvial_18.png,backend/data/Combined/Alluvial_soil/Alluvial_18.png,Alluvial_soil
Alluvial_19.png,backend/data/Combined/Alluvial_soil/Alluvial_19.png,Alluvial_soil
Alluvial_2.png,backend/data/Combined/Alluvial_soil/Alluvial_2.png,Alluvial_soil
Alluvial_20.jpg,backend/data/Combined/Alluvial_soil/Alluvial_20.jpg,Alluvial_soil
Alluvial_21.png,backend/data/Combined/Alluvial_soil/Alluvial_21.png,Alluvial_soil
Alluvial_22.png,backend/data/Combined/Alluvial_soil/Alluvial_22.png,Alluvial_soil
Alluvial_23.jpg,backend/data/Combined/Alluvial_soil/Alluvial_23.jpg,Alluvial_soil
Alluvial_24.png,backend/data/Combined/Alluvial_soil/Alluvial_24.png,Alluvial_soil
Alluvial_25.jpg,backend/data/Combined/Alluvial_soil/Alluvial_25.jpg,Alluvial_soil
Alluvial_26.png,backend/data/Combined/Alluvial_soil/Alluvial_26.png,Alluvial_soil
Alluvial_27.png,backend/data/Combined/Alluvial_soil/Alluvial_27.png,Alluvial_soil
Alluvial_28.jpg,backend/data/Combined/Alluvial_soil/Alluvial_28.jpg,Alluvial_soil
Alluvial_29.jpg,backend/data/Combined/Alluvial_soil/Alluvial_29.jpg,Alluvial_soil
Alluvial_3.png,backend/data/Combined/Alluvial_soil/Alluvial_3.png,Alluvial_soil
Alluvial_30.png,backend/data/Combined/Alluvial_soil/Alluvial_30.png,Alluvial_soil
Alluvial_31.png,backend/data/Combined/Alluvial_soil/Alluvial_31.png,Alluvial_soil
Alluvial_32.jpg,backend/data/Combined/Alluvial_soil/Alluvial_32.jpg,Alluvial_soil
Alluvial_33.png,backend/data/Combined/Alluvial_soil/Alluvial_33.png,Alluvial_soil
